tweets
"Weep please, today is a day ov celebration."
"'O Father Death, guide my hand."
I can't escape the hell in my head.
Fantasizing about ending it now.
Mankind needs to be brought to its knees and purified with death.
I wanna watch deep into your eyes As you crawl and cry in total despair.
"Silence, undeserving swine."
After all these years I hope youre still alive so the world can watch you suffer like the miserable piece of shit that you are.
Hell is real.
