tweets
we can go wherever we please and everything depends upon how near you stand to me
if the day came when i felt a natural emotion i'd get such a shock i'd probably jump in the ocean
i would love to go back to the old house but i never will
all the lies that you make up what's at the back of your mind?
"oh, your face i can see and it's desperately kind but what's at the back of your mind?"
i am the son and the heir of a shyness that is criminally vulgar
do you think you've made the right decision this time?
so for once in my life let me get what i want lord knows it would be the first time
so let it be known for we have been through hell and high tide i think i can rely on you
"my only weakness is a listed crime my only weakness is - well, never mind"
"i stole and i lied, and why? because you asked me to!"
all too soon i did return just like a moth to a flame
"so, what difference does it make? it makes none"
i am the son and heir of nothing in particular
"you shut your mouth, how can you say i go about things the wrong way?"
gasping - but somehow still alive this is the fierce last stand of all i am
there are brighter sides to life and i should know because i've seen them but not very often
i was looking for a job and then i found a job and heaven knows i'm miserable now
"if there's something you'd like to try ask me, i won't say no how could i?"
so let it be known for we have been through hell and high tide i think i can rely on you
"oh, people said that you were virtually dead and they were so wrong"
two lovers entwined pass me by and heaven knows i'm miserable now
"good times for a change see, the luck i've had can make a good man turn bad"
"i'm going to meet the one i love at last, at last, at last"
"in my life, why do i smile at people who i'd much rather kick in the eye?"
"i need advice, i need advice nobody ever looks at me twice"
"yes, i know my luck too well and i'll probably never see you again"
i once had a dream and it never came true and time is against me now
"i had a really bad dream it lasted 20 years, 7 months, and 27 days i never, i'm alone"
"but did i ever tell you, by the way? i never did like your face"
as merry as the days were long i was right and you were wrong
"oh, people said that you were easily led and they were half-right"
"i never, never want to go home because i haven't got one anymore"
"haven't had a dream in a long time see, the life i've had can make a good man bad"
do you think you've made the right decision this time?
but i can't believe that you'd ever care and this is why you will never care
to die by your side is such a heavenly way to die
we can go wherever we please and everything depends upon how near you stand to me
there is another world there is a better world there must be
and if they don't believe me now will they ever believe me?
how can they look into my eyes and still they don't believe me?
"oh, people see no worth in you oh, but i do"
i was looking for a job and then i found a job and heaven knows i'm miserable now
take me out tonight because i want to see people and i want to see life
"but we cannot cling to the old dreams anymore no, we cannot cling to those dreams"
"if there's something you'd like to try ask me, i won't say no how could i?"
"i stole and i lied, and why? because you asked me to!"
i am human and i need to be loved just like everybody else does
the rain falls hard on a humdrum town this town has dragged you down
i've seen you smile but i've never really heard you laugh
"so please, please, please let me, let me, let me let me get what i want this time"
"oh, but plans can fall through, as so often they do and time is against me now"
i'll see you somewhere i'll see you sometime darling
i once had a dream and it never came true and time is against me now
"how dearly i'd love to get carried away oh, but dreams have a knack of just not coming true and time is against me now"
does the body rule the mind or does the mind rule the body?
there's too many bad memories too many memories there
i could have been wild and i could have been free but nature played this trick on me
if the day came when i felt a natural emotion i'd get such a shock i'd probably jump in the ocean
"yes, i know my luck too well and i'll probably never see you again"
"oh, people said that you were virtually dead and they were so wrong"
if you stay i'll stay right beside you
see i've already waited too long and all my hope is gone
this night has opened my eyes and i will never sleep again
my life down i shall lie should restless spirits try to play tricks on your sacred mind
all the lies that you make up what's at the back of your mind?
"oh, people said that you were easily led and they were half-right"
i'm just a country-mile behind the whole world
i was looking for a job and then i found a job and heaven knows i'm miserable now
all too soon i did return just like a moth to a flame
there is another world there is a better world there must be
"if there's something you'd like to try ask me, i won't say no how could i?"
shyness is nice and shyness can stop you from doing all the things in life you'd like to
a piano plays in an empty room there'll be blood on the cleaver tonight
i'm not the man you think i am i'm not the man you think i am
"i stole and i lied, and why? because you asked me to!"
so rattle my bones all over the stones i'm only a beggar-man whom nobody owns
"you shut your mouth, how can you say i go about things the wrong way?"
"how dearly i'd love to get carried away oh, but dreams have a knack of just not coming true and time is against me now"
"what a terrible mess i've made of my life oh, what a mess i've made of my life"
i don't want to wake up on my own anymore
i know i'm unloveable you don't have to tell me i don't have much in my life but take it - it's yours
i've seen you smile but i've never really heard you laugh
"oh, your face i can see and it's desperately kind but what's at the back of your mind?"
"my only weakness is a listed crime my only weakness is - well, never mind"
but i can't believe that you'd ever care and this is why you will never care
"oh, people said that you were virtually dead and they were so wrong"
"but we cannot cling to the old dreams anymore no, we cannot cling to those dreams"
there are brighter sides to life and i should know because i've seen them but not very often
gasping - but somehow still alive this is the fierce last stand of all i am
"so, what difference does it make? it makes none"
if you have five seconds to spare then i'll tell you the story of my life
"it's so easy to laugh, it's so easy to hate it takes strength to be gentle and kind"
"in my life, why do i give valuable time to people who don't care if i live or die?"
i've seen you smile but i've never really heard you laugh
a piano plays in an empty room there'll be blood on the cleaver tonight
does the body rule the mind or does the mind rule the body?
this night has opened my eyes and i will never sleep again
all the lies that you make up what's at the back of your mind?
i am human and i need to be loved just like everybody else does
