tweets
Sleep paralysis be like
I feel disgusted
You lost my respect
What the fuck is happening
Genshin impact ads are annoying as fuck its everywhere and I've seen it over a thousand time !!
I hate everyone
I'm really worried I hope he is ok
I'm keep falling into his trap over and over fuck
You are the most stooopid bitch ever
Nooooo He is tricking you he always come to you when you try to change When will you learnnnnn!!!
You ungrateful bitch
When will these mother fuckers going to learn !!! They already made our lives miserable with corona  and now this wtf!!!  #stopyulindogmeatfestival #YulinDogMeatFestival 🚫
Fuck china  #stopyulindogmeatfestival #YulinDogMeatFestival 🚫🆘️
#stopyulindogmeatfestival #YulinDogMeatFestival 🚫
Fucking heartless psychopath #YulinDogMeatFestival  Stop this!!!!
LMFAO 🤣😂
Fuck my life
Twitter accounts with no profile picture and 0 tweet pisses me off
Stupid ass bitch
Im slowly dying
Go fuck yourself
Fuck you
U stupid bitch why did u do that smh
I'm a burden
Everyone is so annoying
For those who act like a fucking child in the comments let me tell you to go fuck yourself  Stop acting like I made this tweet to you i dont even fucking know you existed fuck off
Wow she is pretty *starts to cry*
I need a restart button in life
Fuck friendship  Fuck relationship  Fuck you  Fuck me Fuck everything
So many thoughts please make it stop
I hate you so much
Today I saw a guy at the gas station he smiled at me and I gave him the middle finger  I'm so nice
When will this pain end
I'm so fucking bored fuck
Let me sleep  Go away
140 yen please
I like 3 guys at the same time I want them all what the fuck
I'm crying
You wanna see me cry ? Yeah good luck with that
I'm so hungry I wanna murd*r someone
Oh my goodness :(
Fuck Israel! #FreePalestine
O god please.. shut up
What a fucking liar 🤢 He just said he will sacrifice his life lol stfu I'm not a 14 year old
Its growing stronger
Why not play with the neighbour kid  The neighbour's kid:
Go away  I'm not here
yeht erats ta uoy
raef si na noisulli
It's there  Its watching  When you sleep
What are we
Wont leave you alone
Raised by the darkness
Died 100 years ago  But still lives in the house
Fuck off
Argh I hate everyone  Leave me alone
STOP being so childish you stupid little shit
Too many catfish in Twitter
Fucking stupid ass go fuck yourself you lying bag of bullshit
Sleep paralysis be like
I feel disgusted
You lost my respect
What the fuck is happening
Genshin impact ads are annoying as fuck its everywhere and I've seen it over a thousand time !!
I hate everyone
I'm really worried I hope he is ok
I'm keep falling into his trap over and over fuck
You are the most stooopid bitch ever
Nooooo He is tricking you he always come to you when you try to change When will you learnnnnn!!!
You ungrateful bitch
When will these mother fuckers going to learn !!! They already made our lives miserable with corona  and now this wtf!!!  #stopyulindogmeatfestival #YulinDogMeatFestival 🚫
Fuck china  #stopyulindogmeatfestival #YulinDogMeatFestival 🚫🆘️
