tweets
"It’s not you, it’s my shattered dopamine receptors."
Women should smile more as they eat the hearts of all who have wronged them.
What is the best horror novel or short story you have read in the last few years
"As your goth personal trainer, I urge you to stay in shape so that you can outrun your horrifying past."
Show me your skulls
My two vaccine shots looking over me from inside my body
Be the reason why your local woods are haunted.
Please respect my final wishes
I am attracted to: ⚪️ men ⚪️ women 🔘 an ass so haunted that the eyes of a gothic portrait follow it down a hallway
Nobody:  Fire signs:
Take a moment to apologize to your body for your brain’s bullshit.
I just met a dog who was on his last walk &amp; the owners let me give him a whole string cheese stick &amp; now I’m going to die from heartbreak goodbye
"I only want to talk about sex, death and disappearing in the woods."
"Happy birthday Frida Kahlo, you queen, queer, intersectional feminist &amp; self-proclaimed bitch"
Live somewhere you wouldn’t mind being murdered
"100 years ago, not a cellphone in sight just people living in the moment"
I just want to be rich enough where I never have to be seen in public again.
Party at my place tonight
Capitalism will stop at nothing to kill us
As your goth husband I will adorn you with cursed artifacts then die mysteriously leaving you to be the most feared widow in the village.
I have said this before but it bears repeating: give women swords.
Everyday that I don’t live in an ancient castle with a horrifying backstory is a day lost
"You're in her DMs, she uses my skull as her favorite wine glass, we are not the same."
"If you know someone who is effortlessly happy in the morning, that is a demon. You're friends with a demon."
Absolutely devastating queens
"I like my women like my ancient spiral staircases, curvy and can send me straight to hell."
My pre-covid to post-covid transformation is complete
You never drink alone when you are with the demons that haunt your past.
"In honor of George Orwells birthday, remember that we don't have to wait for a dystopian future, we are living in it."
"Anxiety is a dominatrix that yells in your ear: ""try not to die today you piece of shit"""
"If you could time travel anywhere, what would you do   Me:"
Therapy™
I’m on my fucking way
The longest day of the year can be hard for the goths in your life. Make sure you know that they matter &amp; that the darkness will be here soon.
"In honor of the summer solstice, lie down in the woods &amp; let ivy grow between the cracks of your ribs."
As your goth dad I am extremely proud of you &amp; I think you are ready to carry the family curse
My love language is getting turned into a vampire by a woman wearing nothing but crimson lipstick.
The best goth boy
All that matters is that your demons think you're pretty.
"Of course I have body issues, I can't explode into thousands of crows."
Bury my body so I can be swallowed by a tree or don’t waste my fucking time
"My body isn’t a temple, it’s at best a decaying old greenhouse with a horrifying backstory."
Be the horrifying backstory of your family's lineage.
"I’m desensitized to horror, tell me a movie that can change that"
I ❤️ aging &amp; dying
"Deleting my dating apps because I want to meet someone the old fashioned way, get my neck sucked by a vampire on a dimly-lit cobblestone street."
I just want to be rich enough where I never have to be seen in public again.
"A french kiss is when you use tongue, a goth kiss is when you bury their heart underneath the floorboards."
"Girls don’t want boys, they want to live in an old Victorian house in the woods &amp; be the most feared widow in the village."
My sexual orientation is fog rolling through haunted woods.
Wishing you the best Spooky Boy Summer from mine to yours
Be the reason why church doors slam shut as you walk by.
Starting an onlyfans of just places I want my body to be dumped
Whenever I’m feeling stressed I like to take a deep breath &amp; think about every mistake I have ever made.
"The most goth thing you could do is to get fully vaccinated, walk back into the woods &amp; never be seen again."
"Of course I have body issues, I can't explode into thousands of bats to get out of social situations."
Retweet with a photo that proves you were a fashion icon in your youth
Absolutely no one:   Me: it starts getting darker out in 20 days
I feel attacked in broad daylight
I want to be haunted by a vindictive ghost &amp; slowly lose my mind here or don’t waste my fucking time
"Practice self-care like a black hole, be lonely and distant &amp; destroy everything you love around you."
Every LGBT friend group
"If you know someone who doesn’t have anxiety issues, that’s a demon. You’re friends with a demon."
"Sadly I think my dying words will be ""I love this for me"""
Me and my anxiety
What you do at night is between you and the fucking moon.
My sexual preference is: ⚪️ men ⚪️ women 🔘 consensually offering my beating heart to a witch
This is capitalism's worst fear.
Normalize getting lost in the woods &amp; never being seen again.
"In honor of World Goth Day, lie down in the woods, slowly become dirt &amp; let ivy grow between the cracks of your ribs."
"Before we all die from nuclear war or a global climate crisis, can we get a little alien invasion as a treat."
Her name is Abby (short for Abyss)
This is the only compliment worth giving someone
"Edgar Allan Poe: can I bury you in the walls of my basement  Me: yes, bestie"
"Girls don’t want boys, they want the hearts of all those who have wronged them."
"The monster isn’t under your bed or in the woods, it is you. The monster has always been you."
Horror movies have given me an unrealistic expectation that there is someone out there that cares enough about me to kill me.
I am: “Haven’t seen the ocean in a long time”
It's officially spooky boy summer
My ideal beach body
The CDC says fully vaccinated people can now continue to let time slowly ravage your body in this vast abyss.
☥ the kids are alright ☥
I exist &amp; that is something I'm going to have to deal with the rest of my life.
"My body is not a temple, it is at best a decaying old cabin with a horrifying past."
"Remember, you can become possessed by a demon whenever you want. You're an adult."
Looking for that special someone to crawl out of a well &amp; kill me.
"Give your mother what she really wants today, a view of the ocean &amp; the beating hearts of all of those who’ve wronged her."
Please respect my final wishes
"As your goth therapist I need you to remember that you don’t live in the hell, hell lives in you."
If Diane Lane or Elisabeth Shue read this.....hello
"Girls don’t want boys, they want to live in a cabin in the woods &amp; be the most feared widow in the village."
"Happy birthday Sigmund Freud, you would have loved all the hot moms there are today."
"If a demon ever tried to possess me, my first thought would be: good luck with that debilitating anxiety you messy bitch."
Murder me here during a thunderstorm or don't waste my fucking time
In honor of Star Wars day I will also be a constant disappointment to my father.
"It’s not you, it’s my shattered serotonin receptors."
He was truly ahead of his time
Sacrifice me to an ancient pagan cult or don’t waste my fucking time.
I’ve said it before but it bears repeating
Maybe she’s born with it or maybe she drank the blood of those who have wronged her.
"Anxiety is a dominatrix that just yells: ""try not to die today you piece of shit"""
You said forever now I'm exploding into bats on your street.
I like my women like my woods: haunted &amp; can kill me at any moment.
Be the horrifying backstory of your family's lineage
A quick reminder
"In honor of Earth Day, lie down, slowly become dirt &amp; let ivy grow between the cracks of your ribs."
The best thing that I own
"Remember, you can disappear in a haunted forest whenever you want. You’re an adult."
I’m relieved to finally find out that murder is an actual crime
I am sexually attracted to: ⚪️ men ⚪️ women 🔘 being turned into a vampire on a dimly-lit cobblestone street
"Happy birthday Tim Curry, you spooky little bitch"
For legal purposes this is a joke.
"In honor of Charles Darwin's death day, lie down in the woods, turn into dirt &amp; remove yourself from the reproductive gene pool."
Every day that I don't live in an abandoned lighthouse with a terrifying backstory is a day lost.
"You’re in her DMs, my beating heart is buried under her floorboards, we are not the same."
"If someone asks how you're doing, just say ""we live in an endless hell"" and then they will just leave."
"Fuck the ocean, marry the ocean, kill me in the ocean."
We need to worship the forest again
"Give me a cup of coffee, a haunted Victorian house &amp; a ghost that wants me dead."
Ideal first date: you secretly plot my murder &amp; our hands touch when reaching for the same knife.
The 5 genders
"A french kiss has tongue, a goth kiss is when the roots of a tree seep through the cracks of your ribs."
"Every horoscope is just ""you're horny and sad"" and it's not wrong."
My sexual preference is a haunted Victorian estate in the woods during a thunderstorm.
Everyday I don’t live in abandoned greenhouse with a horrifying backstory is a day lost.
Show me your skulls
